Id,Designator,Package,Quantity,Designation,Supplier and ref
1,R10,R_0402_1005Metric,1,1MΩ,
2,"C23,C16,C17,C14,C13,C18,C21,C6,C11,C4,C15,C7,C10,C19,C8,C9,C22",C_0402_1005Metric,17,100nF,
3,F1,Fuse_0402_1005Metric,1,500mA,
4,"R3,R4",R_0402_1005Metric,2,5.1k,
5,"C1,C5",C_0402_1005Metric,2,5pF,
6,"LED2,LED1,LED3",LED_6028R,3,SK6812MINI-E,
7,"R7,R6",R_0402_1005Metric,2,27Ω,
8,"D2,D1",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,2,WS2812B,
9,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
10,D3,LED_0402_1005Metric,1,STATUS LED,
11,U2,SOT-23-5,1,TLV75533PDBVR,
12,"C12,C2,C20,C3",C_0402_1005Metric,4,1uF,
13,U4,W25Q_SOIC-8,1,W25Q80DVSSIG ,
14,"R9,R8",R_0402_1005Metric,2,10k,
15,SW3,SW_SPST_PTS810,1,Reset,
16,FB1,L_0402_1005Metric,1,~,
17,R1,R_0402_1005Metric,1,1k,
18,J1,PinHeader_1x05_P2.00mm_Vertical,1,Debug Pins,
19,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24_Small,
20,"R2,R5",R_0402_1005Metric,2,220Ω,
21,U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
22,U1,SOT-23-6-routable,1,SRV05-4,
23,"SW2,SW7,SW1",SW_Hotswap_Kailh_MX_1.00u,3,Kailh Hotswap,
24,"SW6,SW4,SW5",SW_Push_1P1T_NO_6x6mm_H9.5mm,3,DTSM-66R-V-T/R,
