Ref,Val,Package,PosX,PosY,Rot,Side
"C1","5pF","C_0402_1005Metric",141.300000,-57.500000,-90.000000,top
"C2","1uF","C_0402_1005Metric",160.612500,-60.600000,-90.000000,top
"C3","1uF","C_0402_1005Metric",166.212500,-60.000000,-90.000000,top
"C4","100nF","C_0402_1005Metric",145.700000,-62.800000,180.000000,top
"C5","5pF","C_0402_1005Metric",146.699511,-57.012509,90.000000,top
"C6","100nF","C_0402_1005Metric",142.000000,-75.480000,-90.000000,top
"C7","100nF","C_0402_1005Metric",126.250000,-73.000000,-90.000000,top
"C8","100nF","C_0402_1005Metric",180.000000,-75.500000,-90.000000,top
"C9","100nF","C_0402_1005Metric",182.270000,-64.250000,180.000000,top
"C10","100nF","C_0402_1005Metric",139.300000,-57.500000,90.000000,top
"C11","100nF","C_0402_1005Metric",141.000000,-71.200000,-90.000000,top
"C12","1uF","C_0402_1005Metric",136.500000,-71.200000,-90.000000,top
"C13","100nF","C_0402_1005Metric",140.300000,-57.500000,90.000000,top
"C14","100nF","C_0402_1005Metric",133.480000,-62.800000,180.000000,top
"C15","100nF","C_0402_1005Metric",133.500000,-71.200000,-90.000000,top
"C16","100nF","C_0402_1005Metric",134.500000,-71.200000,-90.000000,top
"C17","100nF","C_0402_1005Metric",139.700000,-71.700000,-90.000000,top
"C18","100nF","C_0402_1005Metric",138.700000,-71.700000,-90.000000,top
"C19","100nF","C_0402_1005Metric",144.600000,-67.000000,0.000000,top
"C20","1uF","C_0402_1005Metric",135.500000,-71.200000,-90.000000,top
"C21","100nF","C_0402_1005Metric",130.000000,-59.500000,180.000000,top
"C22","100nF","C_0402_1005Metric",160.750000,-75.500000,-90.000000,top
"C23","100nF","C_0402_1005Metric",162.500000,-57.000000,180.000000,top
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",128.100000,-68.550000,90.000000,top
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",180.000000,-68.500000,-90.000000,top
"D3","STATUS LED","LED_0402_1005Metric",146.735000,-61.000000,180.000000,top
"F1","500mA","Fuse_0402_1005Metric",160.112500,-59.200000,180.000000,top
"FB1","~","L_0402_1005Metric",158.100000,-63.700000,0.000000,top
"J1","Debug Pins","PinHeader_1x05_P2.00mm_Vertical",136.000000,-57.500000,-90.000000,top
"J2","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",153.500000,-57.340000,180.000000,top
"LED1","SK6812MINI-E","LED_6028R",134.500000,-77.000000,0.000000,top
"LED2","SK6812MINI-E","LED_6028R",153.500000,-77.000000,0.000000,top
"LED3","SK6812MINI-E","LED_6028R",172.500000,-77.000000,0.000000,top
"R1","1k","R_0402_1005Metric",126.000000,-56.750000,90.000000,top
"R2","220","R_0402_1005Metric",130.000000,-75.750000,-90.000000,top
"R3","5.1k","R_0402_1005Metric",156.400000,-64.190000,90.000000,top
"R4","5.1k","R_0402_1005Metric",151.100000,-64.200000,90.000000,top
"R5","220","R_0402_1005Metric",130.000000,-64.250000,180.000000,top
"R6","27","R_0402_1005Metric",137.700000,-69.600000,-90.000000,top
"R7","27","R_0402_1005Metric",138.800000,-69.600000,-90.000000,top
"R8","10k","R_0402_1005Metric",127.250000,-59.500000,180.000000,top
"R9","10k","R_0402_1005Metric",144.735000,-61.000000,180.000000,top
"R10","1M","R_0402_1005Metric",162.490000,-56.000000,180.000000,top
"SW3","Reset","SW_SPST_PTS810",129.500000,-99.500000,0.000000,top
"U1","SRV05-4","SOT-23-6-routable",153.750000,-65.000000,180.000000,top
"U2","TLV75533PDBVR","SOT-23-5",163.612500,-59.200000,0.000000,top
"U3","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",139.450000,-63.800000,180.000000,top
"U4","W25Q80DVSSIG ","W25Q_SOIC-8",165.750000,-66.000000,0.000000,top
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",144.049511,-57.412509,0.000000,top
